,commune,spot,full_name,url,date,hour,water_quality,conditions,level,hauteur,note,long,lat
414,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-15,6,A,excellentes,2,0.9,2,47.75319,-3.49849
330,guidel,plage-du-loch,guidel plage-du-loch,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/plage-du-loch,2023-08-15,6,A,excellentes,2,0.9,2,48.0295,-4.63722
456,ploemeur,les-kaolins,ploemeur les-kaolins,https://www.surf-sentinel.com/surf-report/france/morbihan/ploemeur/les-kaolins,2023-08-15,6,A,excellentes,2,0.9,2,47.7228289,-3.4873461
498,plouhinec,lines,plouhinec lines,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/lines,2023-08-15,6,A,excellentes,2,0.9,2,47.6846414,-3.2830856
158,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-14,12,B,bonnes,2,1.0,4,47.664549,-3.2256925
413,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-14,21,B,bonnes,2,0.9,4,47.75319,-3.49849
830,erdeven,kerhilio,erdeven kerhilio,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/kerhilio,2023-08-14,12,B,bonnes,2,1.0,4,47.618522,-3.16564
246,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-15,6,B,bonnes,2,0.9,4,47.7058556,-3.3855627
240,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-14,6,B,bonnes,2,1.3,4,47.7058556,-3.3855627
620,saint-pierre-quiberon,port-bara,saint-pierre-quiberon port-bara,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-bara,2023-08-14,12,B,bonnes,2,1.0,4,47.5141954,-3.151623
789,plouharnel,sainte-barbe-plouharnel,plouharnel sainte-barbe-plouharnel,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/sainte-barbe-plouharnel,2023-08-14,15,B,bonnes,2,0.9,4,47.6074012,-3.1357616
788,plouharnel,sainte-barbe-plouharnel,plouharnel sainte-barbe-plouharnel,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/sainte-barbe-plouharnel,2023-08-14,12,B,bonnes,2,1.0,4,47.6074012,-3.1357616
204,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-15,6,B,bonnes,2,0.9,4,47.6966414,-3.3529371
198,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-14,6,B,bonnes,2,1.3,4,47.6966414,-3.3529371
536,plouhinec,barre-detel,plouhinec barre-detel,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/barre-detel,2023-08-14,12,B,bonnes,2,1.0,4,47.64286,-3.21616
537,plouhinec,barre-detel,plouhinec barre-detel,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/barre-detel,2023-08-14,15,B,bonnes,2,0.9,4,47.64286,-3.21616
577,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-14,9,B,bonnes,2,1.3,4,47.3196443,-3.2298395
578,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-14,12,B,bonnes,2,1.2,4,47.3196443,-3.2298395
705,plouharnel,ty-hoche,plouharnel ty-hoche,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/ty-hoche,2023-08-14,15,B,bonnes,2,0.9,4,47.5969829,-3.1463891
704,plouharnel,ty-hoche,plouharnel ty-hoche,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/ty-hoche,2023-08-14,12,B,bonnes,2,1.0,4,47.5969829,-3.1463891
582,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-15,6,B,bonnes,2,0.9,4,47.3196443,-3.2298395
583,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-15,9,B,bonnes,2,0.9,4,47.3196443,-3.2298395
115,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-14,9,B,bonnes,2,1.0,4,47.6226276,-3.1997196
116,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-14,12,B,bonnes,2,1.0,4,47.6226276,-3.1997196
117,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-14,15,B,bonnes,2,0.9,4,47.6226276,-3.1997196
663,saint-pierre-quiberon,port-blanc,saint-pierre-quiberon port-blanc,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-blanc,2023-08-14,15,B,bonnes,2,0.9,4,47.5205555,-3.1542716
662,saint-pierre-quiberon,port-blanc,saint-pierre-quiberon port-blanc,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-blanc,2023-08-14,12,B,bonnes,2,1.0,4,47.5205555,-3.1542716
619,saint-pierre-quiberon,port-bara,saint-pierre-quiberon port-bara,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-bara,2023-08-14,9,B,bonnes,2,1.0,4,47.5141954,-3.151623
412,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-14,18,B,bonnes,2,1.0,4,47.75319,-3.49849
410,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-14,12,B,bonnes,2,1.1,4,47.75319,-3.49849
621,saint-pierre-quiberon,port-bara,saint-pierre-quiberon port-bara,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-bara,2023-08-14,15,B,bonnes,2,0.9,4,47.5141954,-3.151623
873,plouharnel,la-guerite-tata-beach,plouharnel la-guerite-tata-beach,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/la-guerite-tata-beach,2023-08-14,15,B,bonnes,2,0.9,4,47.5936091,-3.1452297
372,guidel,la-falaise,guidel la-falaise,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/la-falaise,2023-08-15,6,B,bonnes,2,0.9,4,47.76222,-3.52245
282,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-14,6,B,bonnes,2,1.3,4,47.70566,-3.40123
913,saint-pierre-quiberon,port-rhu,saint-pierre-quiberon port-rhu,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-rhu,2023-08-14,9,B,bonnes,2,1.0,4,47.5182401,-3.1438806
914,saint-pierre-quiberon,port-rhu,saint-pierre-quiberon port-rhu,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-rhu,2023-08-14,12,B,bonnes,2,1.0,4,47.5182401,-3.1438806
915,saint-pierre-quiberon,port-rhu,saint-pierre-quiberon port-rhu,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-rhu,2023-08-14,15,B,bonnes,2,0.9,4,47.5182401,-3.1438806
872,plouharnel,la-guerite-tata-beach,plouharnel la-guerite-tata-beach,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/la-guerite-tata-beach,2023-08-14,12,B,bonnes,2,1.0,4,47.5936091,-3.1452297
288,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-15,6,B,bonnes,2,0.9,4,47.70566,-3.40123
366,guidel,la-falaise,guidel la-falaise,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/la-falaise,2023-08-14,6,B,bonnes,2,1.3,4,47.76222,-3.52245
